drug,p_order,d_order,q_order,P_order,D_order,Q_order,MAPE,AIC
Enoxaparin,0,1,1,1,0,0,9.405235921379179,1.383750934273463
Enoxaparin,0,1,1,1,0,1,9.40458304063337,1314.9810312763477
Enoxaparin,0,1,1,1,1,0,9.292414861424518,8.242872473109566
Enoxaparin,0,1,1,1,1,1,10.628742651395191,9.612299478222226
Enoxaparin,0,1,2,0,0,0,6.597911361772109,-6.000942950257606
Enoxaparin,0,1,2,0,0,1,6.9088799542309935,1339.2327943130917
Enoxaparin,0,1,2,0,1,0,18.12844943028725,7.128469273691682
Enoxaparin,0,1,2,0,1,1,13.116800735867276,10.58100458186323
Enoxaparin,0,1,2,1,0,0,7.972592465744037,2.8826755823268257
Enoxaparin,0,1,2,1,0,1,7.502392448845076,1319.996564190651
Enoxaparin,0,1,2,1,1,0,9.744196439203517,9.776148194490338
Enoxaparin,0,1,2,1,1,1,10.214839661955121,12.291019049933798
Enoxaparin,1,0,0,0,0,0,12.470413882810627,-7.788193697808797
Enoxaparin,1,0,0,0,0,1,12.470413882810632,832.7812474223732
Enoxaparin,1,0,0,0,1,0,8.66740309426029,7.210563046305511
Enoxaparin,1,0,0,0,1,1,3.688415092203997,8.26223148110102
Enoxaparin,1,0,0,1,0,0,19.855157788444934,6.6855120503919
Enoxaparin,1,0,0,1,0,1,12.388242668053218,738.9183790629697
Enoxaparin,1,0,0,1,1,0,4.091466243384115,8.067314743464868
Enoxaparin,1,0,0,1,1,1,3.6214463026850248,9.943185461972886
Enoxaparin,1,0,1,0,0,0,14.191330566130619,-7.204782333895714
Enoxaparin,1,0,1,0,0,1,13.515214993984618,1356.6309811715516
Enoxaparin,1,0,1,0,1,0,8.516987842909286,8.960664412566047
Enoxaparin,1,0,1,0,1,1,4.460240395873708,10.0643105414482
Enoxaparin,1,0,1,1,0,0,20.278679197256043,6.9718362826493
Enoxaparin,1,0,1,1,0,1,14.456358935729178,1261.2871004732826
Enoxaparin,1,0,1,1,1,0,5.1714454160853,9.684797737660434
Enoxaparin,1,0,1,1,1,1,6.904491996064584,11.672343490970693
Enoxaparin,1,0,2,0,0,0,17.205398179894267,-8.129934829437722
Enoxaparin,1,0,2,0,0,1,12.435659027759721,1233.3581388407706
Enoxaparin,1,0,2,0,1,0,11.450848769190426,9.232932742031647
Enoxaparin,1,0,2,0,1,1,9.516249458599928,11.950251820047415
Enoxaparin,1,0,2,1,0,0,20.232326681476067,8.947099145799935
Enoxaparin,1,0,2,1,0,1,15.004841258327318,1140.8733925763052
Enoxaparin,1,0,2,1,1,0,5.795907898445254,11.397364204643612
Enoxaparin,1,0,2,1,1,1,8.235940098942402,13.514936830972418
Enoxaparin,1,1,0,0,0,0,9.363144107055433,-8.21398892697662
Enoxaparin,1,1,0,0,0,1,9.363144107045237,1357.451399510312
Enoxaparin,1,1,0,0,1,0,13.031859477097123,10.04482160358526
Enoxaparin,1,1,0,0,1,1,12.489214809830388,8.935338342480184
Enoxaparin,1,1,0,1,0,0,9.999203294280894,1.7638700910551064
Enoxaparin,1,1,0,1,0,1,9.938318048983696,1336.887800652081
Enoxaparin,1,1,0,1,1,0,9.367634023452291,9.315606653941686
Enoxaparin,1,1,0,1,1,1,10.128542643151972,10.495678463918027
Enoxaparin,1,1,1,0,0,0,6.9125331939457535,-7.168551769563448
Enoxaparin,1,1,1,0,0,1,7.710536757131786,1247.9617854946944
Enoxaparin,1,1,1,0,1,0,17.906070823514007,7.436665008871518
Enoxaparin,1,1,1,0,1,1,15.019035955185208,8.768996573993457
Enoxaparin,1,1,1,1,0,0,8.5462934605261,3.3719836489055757
Enoxaparin,1,1,1,1,0,1,8.430780996059848,1228.0618370243556
Enoxaparin,1,1,1,1,1,0,13.318789222350688,10.026586340205462
Enoxaparin,1,1,1,1,1,1,15.020322872814637,10.769209039897698
Enoxaparin,1,1,2,0,0,0,5.576099216898819,-7.131770163915352
Enoxaparin,1,1,2,0,0,1,6.682254512082631,996.1634597568261
Enoxaparin,1,1,2,0,1,0,18.18864428706789,8.681867063380059
Enoxaparin,1,1,2,0,1,1,14.565870878698806,11.61596615494078
Enoxaparin,1,1,2,1,0,0,6.282730075609039,4.043394136085409
Enoxaparin,1,1,2,1,0,1,7.087347868666995,976.9269371193378
Enoxaparin,1,1,2,1,1,0,8.626094427021542,10.939250418799203
Enoxaparin,1,1,2,1,1,1,9.631127902027488,12.46846599198138
Enoxaparin,2,0,0,0,0,0,14.733236875727293,-6.598434974688285
Enoxaparin,2,0,0,0,0,1,14.73324079978648,1472.0219780441687
Enoxaparin,2,0,0,0,1,0,8.584423586904641,8.967047287288803
Enoxaparin,2,0,0,0,1,1,3.5911662811631184,10.312018861347319
Enoxaparin,2,0,0,1,0,0,19.95775230438989,8.378529542449003
Enoxaparin,2,0,0,1,0,1,14.349896715364649,1334.8453140136232
Enoxaparin,2,0,0,1,1,0,4.885045021752597,10.592035513562958
Enoxaparin,2,0,0,1,1,1,5.360817256021246,12.056134010011984
Enoxaparin,2,0,1,0,0,0,18.27905910472115,-11.13068666331921
Enoxaparin,2,0,1,0,0,1,11.34558810518251,1452.5863842846097
Enoxaparin,2,0,1,0,1,0,8.494780189280714,10.942241651027665
Enoxaparin,2,0,1,0,1,1,6.149575204675153,13.790860289521463
Enoxaparin,2,0,1,1,0,0,22.506718801057517,10.821973410622606
Enoxaparin,2,0,1,1,0,1,18.482860493193176,1357.2430073469818
Enoxaparin,2,0,1,1,1,0,4.755564556788676,12.65524645049808
Enoxaparin,2,0,1,1,1,1,4.737153238452381,14.232532869711832
Enoxaparin,2,0,2,0,0,0,16.387856928530343,-6.658823878602355
Enoxaparin,2,0,2,0,0,1,12.326693283375887,1100.5651064537826
Enoxaparin,2,0,2,0,1,0,20.053790092841663,10.388391377622884
Enoxaparin,2,0,2,0,1,1,16.841828456188416,12.861839046619894
Enoxaparin,2,0,2,1,0,0,19.248203680001573,11.21616341174277
Enoxaparin,2,0,2,1,0,1,14.415561164498058,1008.0905726660953
Enoxaparin,2,0,2,1,1,0,16.13172222063447,13.513732753826831
Enoxaparin,2,0,2,1,1,1,15.291468927444676,15.199463685173118
Enoxaparin,2,1,0,0,0,0,7.71263835255402,-6.338987167163417
Enoxaparin,2,1,0,0,0,1,7.712638352560708,1419.0919266207393
Enoxaparin,2,1,0,0,1,0,11.703513182075664,10.104640101028629
Enoxaparin,2,1,0,0,1,1,10.534332771684204,11.160625196837199
Enoxaparin,2,1,0,1,0,0,9.132708835992693,4.5531202179779
Enoxaparin,2,1,0,1,0,1,8.314263903475032,1357.6893760148982
Enoxaparin,2,1,0,1,1,0,8.864141969706761,10.544778799299085
Enoxaparin,2,1,0,1,1,1,11.762792338900265,11.226519995933954
Enoxaparin,2,1,1,0,0,0,6.508947598731245,-7.836740093792706
Enoxaparin,2,1,1,0,0,1,7.648098678402945,1276.7527597389467
Enoxaparin,2,1,1,0,1,0,19.33115602382844,9.087324861107138
Enoxaparin,2,1,1,0,1,1,14.52781896314318,10.893361882783223
Enoxaparin,2,1,1,1,0,0,8.618109233523247,6.114870100519667
Enoxaparin,2,1,1,1,0,1,8.26210116697565,1256.8437316442285
Enoxaparin,2,1,1,1,1,0,13.447725172041222,11.842173740959083
Enoxaparin,2,1,1,1,1,1,11.021707897199205,13.301176813436916
Enoxaparin,2,1,2,0,0,0,5.477673466808151,-5.20374028723236
Enoxaparin,2,1,2,0,0,1,2980.630462695768,1228.1650560102526
Enoxaparin,2,1,2,0,1,0,16.887575300264686,9.73935006738068
Enoxaparin,2,1,2,0,1,1,14.118714972356546,12.218245128699213
