drug,date,forecast,ci_lower,ci_upper
Apixaban,2026-03-01,14.618499830194818,13.770307959365018,15.466691701024617
Apixaban,2026-04-01,14.5194008119539,13.658615071667418,15.380186552240383
Apixaban,2026-05-01,14.51488057427818,13.651952288184242,15.377808860372118
Apixaban,2026-06-01,14.992679137408295,14.12946302421608,15.855895250600511
Apixaban,2026-07-01,14.79262385106561,13.926725756776408,15.658521945354812
Apixaban,2026-08-01,14.540154984610474,13.67384228851949,15.406467680701459
Apixaban,2026-09-01,15.249365160866343,14.381849623574185,16.116880698158504
Apixaban,2026-10-01,14.564112871407467,13.696332354676054,15.43189338813888
Apixaban,2026-11-01,15.424047238552506,14.556543769036516,16.291550708068495
Apixaban,2026-12-01,15.560465285108359,14.692014610527128,16.42891595968959
Apixaban,2027-01-01,14.970316779048813,14.043156972831127,15.8974765852665
Apixaban,2027-02-01,15.776820791541466,14.847868461011455,16.705773122071477
Apixaban,2027-03-01,15.796894039480812,14.865606927474595,16.72818115148703
Apixaban,2027-04-01,15.774429144134995,14.823206511686285,16.725651776583707
Apixaban,2027-05-01,15.671357160401321,14.717043536121862,16.62567078468078
Apixaban,2027-06-01,16.19184652053785,15.23734962818152,17.146343412894183
Apixaban,2027-07-01,16.06457571440108,15.105626361155819,17.023525067646343
Apixaban,2027-08-01,15.72898117027947,14.769298302519685,16.688664038039253
Apixaban,2027-09-01,16.462588395081013,15.501279938279119,17.42389685188291
Apixaban,2027-10-01,15.789751858335032,14.827927768290884,16.75157594837918
Apixaban,2027-11-01,16.648821922110844,15.687367223016372,17.61027662120532
Apixaban,2027-12-01,16.805485211673894,15.842650416225469,17.768320007122316
Apixaban,2028-01-01,16.182459807715244,15.177585354736575,17.187334260693913
Apixaban,2028-02-01,16.998668619478824,15.993014249112386,18.004322989845264
Apixaban,2028-03-01,17.031813693458453,16.0255955408744,18.038031846042507
Apixaban,2028-04-01,16.961950254902245,15.941175169072912,17.982725340731577
Apixaban,2028-05-01,16.91983307890699,15.897673010239307,17.94199314757467
Apixaban,2028-06-01,17.4139177723222,16.391473276849844,18.436362267794557
Apixaban,2028-07-01,17.2416300840486,16.215800764083802,18.2674594040134
Apixaban,2028-08-01,16.95744881591903,15.931687528364753,17.983210103473308
Apixaban,2028-09-01,17.675966134015688,16.648754176954416,18.70317809107696
Apixaban,2028-10-01,16.99545069104936,15.967839819468669,18.02306156263005
Apixaban,2028-11-01,17.855055437391055,16.82798040616557,18.88213046861654
Apixaban,2028-12-01,17.99919690443233,16.970930392785412,19.02746341607925
Apixaban,2029-01-01,17.396505876271227,16.32013542361028,18.472876328932173
Apixaban,2029-02-01,18.20671229111957,17.129847504380084,19.283577077859054
Apixaban,2029-03-01,18.231772415338735,17.15423957661335,19.30930525406412
Apixaban,2029-04-01,18.191224855348953,17.096639089854737,19.28581062084317
Apixaban,2029-05-01,18.111407370908402,17.01551932469427,19.207295417122534
Apixaban,2029-06-01,18.621823208575563,17.525687287294417,19.71795912985671
Apixaban,2029-07-01,18.477378293814937,17.377151972496442,19.57760461513343
Apixaban,2029-08-01,18.16139811948322,17.061374569475266,19.261421669491174
Apixaban,2029-09-01,18.889248485491194,17.78757448394477,19.99092248703762
Apixaban,2029-10-01,18.21348242428602,17.111288786183344,19.315676062388697
Apixaban,2029-11-01,19.072756445624286,17.97123522361362,20.174277667634954
Apixaban,2029-12-01,19.224642615904955,18.12172738920043,20.32755784260948
Apixaban,2030-01-01,18.60937487523582,17.46460071635978,19.754149034111858
Apixaban,2030-02-01,19.42329373233806,18.278575372042738,20.56801209263338
Apixaban,2030-03-01,19.453354370277385,18.30871002748807,20.5979987130667
